,key stats,mar21,mar20,mar19,mar18,mar17,company,mar16,mar15,mar14,mar13,mar12
428,Earnings Retention Ratio (%),0.00,34.45,22.59,-10.20,14.81,COALINDIA.NS,-4.30,2.31,-22.04,9.72,21.69
429,Cash Earnings Retention Ratio (%),0.00,34.76,22.78,-9.99,14.91,COALINDIA.NS,-4.19,2.36,-21.99,9.76,21.76
430,Valuation Ratios,,,,,,COALINDIA.NS,,,,,
431,Enterprise Value (Cr.),80131.73,85206.74,145679.94,175491.99,180830.87,COALINDIA.NS,179973.14,220517.50,172030.16,178080.38,202585.13
432,EV/Net Operating Revenue (X),125.16,100.82,155.92,481.46,623.81,COALINDIA.NS,1087.25,569.64,547.43,505.55,487.15
433,EV/EBITDA (X),10.41,7.50,13.73,19.34,12.57,COALINDIA.NS,10.80,15.86,10.97,16.61,22.55
434,MarketCap/Net Operating Revenue (X),125.52,102.09,156.20,482.80,626.99,COALINDIA.NS,1114.23,591.30,578.67,554.35,521.12
435,Retention Ratios (%),0.00,34.44,22.58,-10.20,14.80,COALINDIA.NS,-4.30,2.30,-22.04,9.71,21.68
436,Price/BV (X),4.80,5.13,10.43,13.86,13.06,COALINDIA.NS,11.49,13.68,11.06,9.52,11.08
437,Price/Net Operating Revenue,125.63,102.12,156.20,482.96,628.33,COALINDIA.NS,1114.50,592.16,579.28,555.03,521.43
438,Earnings Yield,0.10,0.13,0.07,0.05,0.08,COALINDIA.NS,0.09,0.06,0.08,0.05,0.04
439,Key Financial Ratios of Divis Laboratories (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,DIVISLAB.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
440,Per Share Ratios,,,,,,DIVISLAB.NS,,,,,
441,Basic EPS (Rs.),73.63,51.71,50.20,32.76,39.68,DIVISLAB.NS,41.73,63.82,59.65,46.06,41.15
442,Diluted EPS (Rs.),73.63,51.71,50.20,32.76,39.68,DIVISLAB.NS,41.73,63.82,59.65,46.06,41.15
443,Cash EPS (Rs.),83.23,58.72,56.56,38.12,44.32,DIVISLAB.NS,46.17,74.05,66.58,51.86,45.81
444,Book Value [ExclRevalReserve]/Share (Rs.),349.28,275.63,262.70,224.51,203.76,DIVISLAB.NS,163.87,268.35,228.61,192.36,163.85
445,Book Value [InclRevalReserve]/Share (Rs.),349.28,275.63,262.70,224.51,203.76,DIVISLAB.NS,163.87,268.35,228.61,192.36,163.85
446,Dividend / Share(Rs.),20.00,16.00,16.00,10.00,10.00,DIVISLAB.NS,10.00,20.00,20.00,15.00,13.00
447,Revenue from Operations/Share (Rs.),256.12,200.06,183.83,143.75,151.59,DIVISLAB.NS,140.18,232.34,189.40,160.39,138.99
448,PBDIT/Share (Rs.),108.62,75.54,75.55,51.35,57.03,DIVISLAB.NS,56.21,90.77,83.08,65.56,57.30
449,PBIT/Share (Rs.),99.02,68.54,69.19,45.99,52.38,DIVISLAB.NS,51.76,80.54,76.14,59.77,52.63
450,PBT/Share (Rs.),99.00,68.31,69.06,45.94,52.30,DIVISLAB.NS,51.68,80.40,75.99,59.64,52.35
451,Net Profit/Share (Rs.),73.64,51.71,50.20,32.76,39.68,DIVISLAB.NS,41.73,63.82,59.65,46.06,41.13
452,Profitability Ratios,,,,,,DIVISLAB.NS,,,,,
453,PBDIT Margin (%),42.40,37.76,41.09,35.72,37.61,DIVISLAB.NS,40.10,39.06,43.86,40.87,41.22
454,PBIT Margin (%),38.66,34.25,37.64,31.98,34.55,DIVISLAB.NS,36.92,34.66,40.20,37.26,37.86
455,PBT Margin (%),38.65,34.14,37.56,31.95,34.50,DIVISLAB.NS,36.86,34.60,40.12,37.18,37.66
456,Net Profit Margin (%),28.75,25.84,27.31,22.78,26.17,DIVISLAB.NS,29.76,27.46,31.49,28.72,29.59
457,Return on Networth / Equity (%),21.08,18.76,19.11,14.59,19.47,DIVISLAB.NS,25.46,23.78,26.09,23.94,25.10
458,Return on Capital Employed (%),27.28,23.90,25.48,19.79,25.03,DIVISLAB.NS,24.55,22.87,25.04,23.12,24.23
459,Return on Assets (%),18.22,16.12,16.57,12.77,16.96,DIVISLAB.NS,22.03,18.92,20.92,19.13,19.47
460,Total Debt/Equity (X),0.00,0.00,0.02,0.01,0.01,DIVISLAB.NS,0.01,0.01,0.01,0.01,0.02
461,Asset Turnover Ratio (%),63.39,62.37,60.69,56.05,64.79,DIVISLAB.NS,74.01,68.91,66.43,66.61,65.82
462,Liquidity Ratios,,,,,,DIVISLAB.NS,,,,,
463,Current Ratio (X),5.63,5.16,5.58,7.11,6.16,DIVISLAB.NS,6.04,3.62,3.68,3.40,3.18
464,Quick Ratio (X),3.75,3.23,3.58,5.11,4.24,DIVISLAB.NS,3.79,2.18,2.25,1.94,2.00
465,Inventory Turnover Ratio (X),3.33,3.04,2.93,2.98,3.20,DIVISLAB.NS,3.20,2.77,2.81,2.64,2.83
466,Dividend Payout Ratio (NP) (%),0.00,61.88,19.92,30.52,0.00,DIVISLAB.NS,23.96,31.34,33.53,32.56,31.60
467,Dividend Payout Ratio (CP) (%),0.00,54.50,17.68,26.23,0.00,DIVISLAB.NS,21.65,27.00,30.03,28.92,28.38
468,Earnings Retention Ratio (%),0.00,38.12,80.08,69.48,0.00,DIVISLAB.NS,76.04,68.66,66.47,67.44,68.40
469,Cash Earnings Retention Ratio (%),0.00,45.50,82.32,73.77,0.00,DIVISLAB.NS,78.35,73.00,69.97,71.08,71.62
470,Valuation Ratios,,,,,,DIVISLAB.NS,,,,,
471,Enterprise Value (Cr.),94218.02,52685.78,45211.84,28892.41,16537.33,DIVISLAB.NS,26134.20,23730.92,18153.46,13055.02,10207.03
472,EV/Net Operating Revenue (X),13.86,9.92,9.27,7.57,4.11,DIVISLAB.NS,7.02,7.69,7.22,6.13,5.53
473,EV/EBITDA (X),32.68,26.27,22.54,21.20,10.92,DIVISLAB.NS,17.51,19.70,16.46,15.00,13.42
474,MarketCap/Net Operating Revenue (X),14.17,9.93,9.27,7.58,4.12,DIVISLAB.NS,7.03,7.70,7.23,6.13,5.52
475,Retention Ratios (%),0.00,38.11,80.07,69.47,0.00,DIVISLAB.NS,76.03,68.65,66.46,67.43,68.39
476,Price/BV (X),10.39,7.21,6.48,4.85,3.06,DIVISLAB.NS,6.01,6.67,5.99,5.11,4.68
477,Price/Net Operating Revenue,14.17,9.93,9.27,7.58,4.12,DIVISLAB.NS,7.03,7.70,7.23,6.13,5.52
478,Earnings Yield,0.02,0.03,0.03,0.03,0.06,DIVISLAB.NS,0.04,0.04,0.04,0.05,0.05
479,Key Financial Ratios of Dr Reddys Laboratories (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,DRREDDY.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
480,Per Share Ratios,,,,,,DRREDDY.NS,,,,,
481,Basic EPS (Rs.),131.84,177.23,76.98,34.19,83.05,DRREDDY.NS,79.42,98.60,113.67,74.54,53.83
482,Diluted EPS (Rs.),131.46,176.88,76.85,34.12,82.88,DRREDDY.NS,79.14,98.18,113.13,74.17,53.56
483,Cash EPS (Rs.),181.57,224.24,123.97,80.78,127.82,DRREDDY.NS,117.44,127.32,135.92,92.95,71.55
484,Book Value [ExclRevalReserve]/Share (Rs.),1020.66,914.07,764.10,711.31,699.67,DRREDDY.NS,680.27,624.06,548.12,458.39,396.10
485,Book Value [InclRevalReserve]/Share (Rs.),1020.66,914.07,764.10,711.31,699.67,DRREDDY.NS,680.27,624.06,548.12,458.39,396.10
486,Dividend / Share(Rs.),25.00,25.00,20.00,20.00,20.00,DRREDDY.NS,20.00,20.00,18.00,15.00,13.75
487,Revenue from Operations/Share (Rs.),802.23,713.02,640.09,563.81,586.24,DRREDDY.NS,598.34,587.50,571.56,496.70,397.39
488,PBDIT/Share (Rs.),236.65,217.38,152.90,92.40,140.94,DRREDDY.NS,155.26,153.40,171.16,125.29,95.75
489,PBIT/Share (Rs.),186.47,169.89,105.87,45.77,96.60,DRREDDY.NS,117.22,124.63,148.81,106.87,78.00
490,PBT/Share (Rs.),183.67,167.02,102.45,41.99,93.15,DRREDDY.NS,92.61,120.89,144.21,103.25,74.25
491,Net Profit/Share (Rs.),131.39,176.76,76.95,34.15,83.48,DRREDDY.NS,79.40,98.56,113.56,74.53,53.80
492,Profitability Ratios,,,,,,DRREDDY.NS,,,,,
493,PBDIT Margin (%),29.49,30.48,23.88,16.38,24.04,DRREDDY.NS,25.94,26.11,29.94,25.22,24.09
494,PBIT Margin (%),23.24,23.82,16.54,8.11,16.47,DRREDDY.NS,19.59,21.21,26.03,21.51,19.62
495,PBT Margin (%),22.89,23.42,16.00,7.44,15.89,DRREDDY.NS,15.47,20.57,25.23,20.78,18.68
496,Net Profit Margin (%),16.37,24.78,12.02,6.05,14.24,DRREDDY.NS,13.26,16.77,19.86,15.00,13.53
497,Return on Networth / Equity (%),12.87,19.33,10.07,4.80,11.93,DRREDDY.NS,11.67,15.79,20.71,16.25,13.58
498,Return on Capital Employed (%),18.17,18.46,13.34,6.13,13.14,DRREDDY.NS,10.61,14.25,18.59,15.98,12.53
499,Return on Assets (%),10.10,15.08,7.86,3.31,8.41,DRREDDY.NS,7.71,10.20,13.32,10.55,8.82
500,Total Debt/Equity (X),0.07,0.07,0.07,0.22,0.20,DRREDDY.NS,0.27,0.29,0.29,0.20,0.23
501,Asset Turnover Ratio (%),61.71,60.84,65.39,54.73,59.09,DRREDDY.NS,58.13,60.83,67.05,70.34,65.17
502,Liquidity Ratios,,,,,,DRREDDY.NS,,,,,
503,Current Ratio (X),2.40,2.42,2.90,1.91,2.02,DRREDDY.NS,2.10,2.22,2.17,1.63,1.61
504,Quick Ratio (X),1.78,1.89,2.25,1.52,1.59,DRREDDY.NS,1.75,1.86,1.78,1.25,1.17
505,Inventory Turnover Ratio (X),4.73,5.41,5.27,5.04,5.37,DRREDDY.NS,6.01,5.81,6.11,5.53,5.08
506,Dividend Payout Ratio (NP) (%),18.96,13.32,25.99,70.41,24.22,DRREDDY.NS,25.13,20.29,15.84,20.13,25.54
507,Dividend Payout Ratio (CP) (%),13.72,10.50,16.13,29.76,15.82,DRREDDY.NS,16.99,15.70,13.23,16.14,19.20
508,Earnings Retention Ratio (%),81.04,86.68,74.01,29.59,75.78,DRREDDY.NS,74.87,79.71,84.16,79.87,74.46
509,Cash Earnings Retention Ratio (%),86.28,89.50,83.87,70.24,84.18,DRREDDY.NS,83.01,84.30,86.77,83.86,80.80
510,Valuation Ratios,,,,,,DRREDDY.NS,,,,,
511,Enterprise Value (Cr.),75031.88,52829.90,46829.39,37036.77,45935.25,DRREDDY.NS,53591.39,61649.55,45584.22,30661.77,30511.10
512,EV/Net Operating Revenue (X),5.62,4.46,4.41,3.96,4.73,DRREDDY.NS,5.25,6.16,4.69,3.64,4.53
513,EV/EBITDA (X),19.05,14.62,18.45,24.15,19.66,DRREDDY.NS,20.23,23.59,15.65,14.41,18.79
514,MarketCap/Net Operating Revenue (X),5.63,4.37,4.33,3.69,4.49,DRREDDY.NS,5.07,5.94,4.48,3.56,4.43
515,Retention Ratios (%),81.03,86.67,74.00,29.58,75.77,DRREDDY.NS,74.86,79.70,84.15,79.86,74.45
516,Price/BV (X),4.42,3.41,3.63,2.93,3.76,DRREDDY.NS,4.46,5.59,4.67,3.85,4.44
517,Price/Net Operating Revenue,5.63,4.37,4.33,3.69,4.49,DRREDDY.NS,5.07,5.94,4.48,3.56,4.43
518,Earnings Yield,0.03,0.06,0.03,0.02,0.03,DRREDDY.NS,0.03,0.03,0.04,0.04,0.03
519,Key Financial Ratios of Eicher Motors (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,EICHERMOT.NS,Mar 16,Dec 15,Dec 14,Dec 13,Dec 12
520,Per Share Ratios,,,,,,EICHERMOT.NS,,,,,
521,Basic EPS (Rs.),48.68,697.50,753.37,629.07,573.75,EICHERMOT.NS,482.45,342.25,206.38,103.15,53.62
522,Diluted EPS (Rs.),48.61,697.16,752.54,627.88,572.17,EICHERMOT.NS,480.68,340.82,205.37,102.58,53.31
523,Cash EPS (Rs.),64.97,835.80,862.67,709.92,629.68,EICHERMOT.NS,532.32,0.00,224.75,114.29,59.97
524,Book Value [ExclRevalReserve]/Share (Rs.),355.10,3031.26,2612.34,1970.74,1441.60,EICHERMOT.NS,860.24,0.00,455.23,303.75,232.98
525,Book Value [InclRevalReserve]/Share (Rs.),355.10,3031.26,2612.34,1970.74,1441.60,EICHERMOT.NS,860.24,0.00,455.23,303.75,232.98
526,Dividend / Share(Rs.),17.00,125.00,125.00,110.00,100.00,EICHERMOT.NS,100.00,0.00,50.00,30.00,20.00
527,Revenue from Operations/Share (Rs.),315.37,3325.08,3590.35,3285.95,2586.54,EICHERMOT.NS,2277.68,0.00,1118.53,629.61,388.61
528,PBDIT/Share (Rs.),81.91,1032.64,1265.55,1168.61,894.20,EICHERMOT.NS,733.31,0.00,313.60,145.65,70.82
529,PBIT/Share (Rs.),65.59,894.21,1155.97,1087.05,837.85,EICHERMOT.NS,683.04,0.00,295.09,134.40,64.47
530,PBT/Share (Rs.),65.25,890.23,1148.45,971.49,836.82,EICHERMOT.NS,682.26,0.00,294.48,134.30,64.37
531,Net Profit/Share (Rs.),48.65,697.37,753.09,628.36,573.33,EICHERMOT.NS,482.04,0.00,206.24,103.04,53.61
532,Profitability Ratios,,,,,,EICHERMOT.NS,,,,,
533,PBDIT Margin (%),25.97,31.05,35.24,35.56,34.57,EICHERMOT.NS,32.19,30.69,28.03,23.13,18.22
534,PBIT Margin (%),20.79,26.89,32.19,33.08,32.39,EICHERMOT.NS,29.98,28.55,26.38,21.34,16.58
535,PBT Margin (%),20.69,26.77,31.98,29.56,32.35,EICHERMOT.NS,29.95,28.51,26.32,21.33,16.56
536,Net Profit Margin (%),15.42,20.97,20.97,19.12,22.16,EICHERMOT.NS,21.16,20.00,18.43,16.36,13.79
537,Return on Networth / Equity (%),13.70,23.00,28.82,31.88,39.77,EICHERMOT.NS,56.03,0.00,45.30,33.92,23.01
538,Return on Capital Employed (%),17.58,28.00,42.05,52.91,56.17,EICHERMOT.NS,54.04,0.00,43.93,32.84,22.34
539,Return on Assets (%),10.53,17.99,21.67,21.97,28.15,EICHERMOT.NS,36.12,0.00,25.07,18.78,14.13
540,Total Debt/Equity (X),0.00,0.00,0.01,0.02,0.02,EICHERMOT.NS,0.01,0.00,0.00,0.00,0.03
541,Asset Turnover Ratio (%),68.27,85.80,103.34,114.91,127.03,EICHERMOT.NS,170.70,0.00,135.99,114.78,102.44
542,Liquidity Ratios,,,,,,EICHERMOT.NS,,,,,
543,Current Ratio (X),3.60,3.40,2.22,1.15,0.92,EICHERMOT.NS,0.87,0.00,1.31,1.65,1.99
544,Quick Ratio (X),3.29,3.13,1.91,0.98,0.70,EICHERMOT.NS,0.62,0.00,1.09,1.43,1.79
545,Inventory Turnover Ratio (X),11.21,17.52,16.18,23.62,21.83,EICHERMOT.NS,20.60,0.00,14.78,11.84,13.91
546,Dividend Payout Ratio (NP) (%),0.00,35.84,14.59,18.51,0.00,EICHERMOT.NS,35.76,0.00,24.24,29.11,37.30
547,Dividend Payout Ratio (CP) (%),0.00,29.90,12.74,16.38,0.00,EICHERMOT.NS,32.38,0.00,22.24,26.24,33.35
548,Earnings Retention Ratio (%),0.00,64.16,85.41,81.49,0.00,EICHERMOT.NS,64.24,0.00,75.76,70.89,62.70
549,Cash Earnings Retention Ratio (%),0.00,70.10,87.26,83.62,0.00,EICHERMOT.NS,67.62,0.00,77.76,73.76,66.65
550,Valuation Ratios,,,,,,EICHERMOT.NS,,,,,
551,Enterprise Value (Cr.),65361.58,32801.68,53164.25,76123.69,69579.67,EICHERMOT.NS,51961.88,0.00,40887.44,13442.42,7854.75
552,EV/Net Operating Revenue (X),7.58,3.61,5.43,8.50,9.89,EICHERMOT.NS,8.40,0.00,13.49,7.90,7.49
553,EV/EBITDA (X),29.20,11.64,15.40,23.90,28.60,EICHERMOT.NS,26.09,0.00,48.11,34.13,41.08
554,MarketCap/Net Operating Revenue (X),8.26,3.94,5.72,8.62,9.88,EICHERMOT.NS,8.40,0.00,13.50,7.90,7.47
555,Retention Ratios (%),0.00,64.15,85.40,81.48,0.00,EICHERMOT.NS,64.23,0.00,75.75,70.88,62.69
556,Price/BV (X),7.33,4.32,7.86,14.38,17.73,EICHERMOT.NS,22.25,0.00,33.18,16.38,12.46
557,Price/Net Operating Revenue,8.26,3.94,5.72,8.62,9.88,EICHERMOT.NS,8.40,0.00,13.50,7.90,7.47
558,Earnings Yield,0.02,0.05,0.04,0.02,0.02,EICHERMOT.NS,0.03,0.00,0.01,0.02,0.02
559,Key Financial Ratios of Grasim Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,GRASIM.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
560,Per Share Ratios,,,,,,GRASIM.NS,,,,,
561,Basic EPS (Rs.),13.78,19.35,7.84,29.20,33.42,GRASIM.NS,102.13,57.69,97.58,133.62,128.33
562,Diluted EPS (Rs.),13.77,19.34,7.84,29.17,33.38,GRASIM.NS,102.04,57.63,97.54,133.51,128.22
563,Cash EPS (Rs.),26.34,32.18,19.40,36.45,42.97,GRASIM.NS,150.02,86.26,121.49,150.93,144.06
564,Book Value [ExclRevalReserve]/Share (Rs.),652.60,572.73,638.07,681.37,347.67,GRASIM.NS,1325.17,1217.25,1179.09,1102.84,992.19
565,Book Value [InclRevalReserve]/Share (Rs.),652.60,572.73,638.07,681.37,347.67,GRASIM.NS,1325.17,1217.25,1179.09,1102.84,992.19
566,Dividend / Share(Rs.),9.00,4.00,7.00,6.20,5.50,GRASIM.NS,22.50,18.00,21.00,22.50,22.50
567,Revenue from Operations/Share (Rs.),188.21,282.90,312.51,240.18,221.61,GRASIM.NS,961.93,689.30,610.20,572.57,541.90
568,PBDIT/Share (Rs.),31.58,43.11,70.55,53.88,56.31,GRASIM.NS,199.30,110.27,135.70,165.91,187.75
569,PBIT/Share (Rs.),18.99,30.24,58.98,44.33,46.75,GRASIM.NS,151.40,81.69,111.78,148.57,172.02
570,PBT/Share (Rs.),14.18,21.15,19.95,38.23,45.52,GRASIM.NS,132.48,74.55,107.26,166.58,168.12
571,Net Profit/Share (Rs.),13.75,19.31,7.84,26.91,33.42,GRASIM.NS,102.12,57.68,97.57,133.58,128.34
572,Profitability Ratios,,,,,,GRASIM.NS,,,,,
573,PBDIT Margin (%),16.77,15.23,22.57,22.43,25.40,GRASIM.NS,20.71,15.99,22.23,28.97,34.64
574,PBIT Margin (%),10.09,10.68,18.87,18.45,21.09,GRASIM.NS,15.73,11.85,18.31,25.94,31.74
575,PBT Margin (%),7.53,7.47,6.38,15.91,20.53,GRASIM.NS,13.77,10.81,17.57,29.09,31.02
576,Net Profit Margin (%),7.30,6.82,2.50,11.20,15.07,GRASIM.NS,10.61,8.36,15.98,23.32,23.68
577,Return on Networth / Equity (%),2.10,3.37,1.22,3.94,9.61,GRASIM.NS,7.70,4.73,8.27,12.11,12.93
578,Return on Capital Employed (%),2.60,4.73,8.62,6.12,12.60,GRASIM.NS,6.77,4.15,7.25,10.65,11.82
579,Return on Assets (%),1.65,2.56,0.99,3.29,7.85,GRASIM.NS,5.61,3.68,6.45,9.39,10.66
580,Total Debt/Equity (X),0.09,0.13,0.07,0.06,0.03,GRASIM.NS,0.13,0.08,0.10,0.12,0.07
581,Asset Turnover Ratio (%),22.64,37.59,39.66,29.38,52.11,GRASIM.NS,52.87,44.07,40.37,40.26,45.03
582,Liquidity Ratios,,,,,,GRASIM.NS,,,,,
583,Current Ratio (X),1.28,1.10,1.52,1.32,1.95,GRASIM.NS,1.44,2.29,2.37,2.32,3.64
584,Quick Ratio (X),0.96,0.75,1.09,0.90,1.26,GRASIM.NS,0.88,1.41,1.58,1.81,3.06
585,Inventory Turnover Ratio (X),5.68,7.09,7.01,6.09,5.97,GRASIM.NS,5.58,4.42,4.62,6.66,7.88
586,Dividend Payout Ratio (NP) (%),0.00,36.17,79.12,0.00,0.00,GRASIM.NS,22.03,31.84,21.52,16.84,17.53
587,Dividend Payout Ratio (CP) (%),0.00,21.70,31.96,0.00,0.00,GRASIM.NS,14.99,21.29,17.28,14.90,15.61
588,Earnings Retention Ratio (%),0.00,63.83,20.88,0.00,0.00,GRASIM.NS,77.97,68.16,78.48,83.16,82.47
589,Cash Earnings Retention Ratio (%),0.00,78.30,68.04,0.00,0.00,GRASIM.NS,85.01,78.71,82.72,85.10,84.39
590,Valuation Ratios,,,,,,GRASIM.NS,,,,,
591,Enterprise Value (Cr.),99441.12,36093.49,59296.35,71831.86,49382.99,GRASIM.NS,37438.08,34154.24,27612.43,26962.17,24733.09
592,EV/Net Operating Revenue (X),8.03,1.94,2.89,4.55,4.77,GRASIM.NS,4.17,5.39,4.93,5.13,4.98
593,EV/EBITDA (X),47.85,12.73,12.78,20.28,18.79,GRASIM.NS,20.12,33.71,22.16,17.71,14.36
594,MarketCap/Net Operating Revenue (X),7.72,1.68,2.75,4.39,4.74,GRASIM.NS,3.99,5.25,4.73,4.91,4.85
595,Retention Ratios (%),0.00,63.82,20.87,0.00,0.00,GRASIM.NS,77.96,68.15,78.47,83.15,82.46
596,Price/BV (X),2.23,0.83,1.35,1.55,3.02,GRASIM.NS,2.90,2.98,2.45,2.55,2.65
597,Price/Net Operating Revenue,7.72,1.68,2.75,4.39,4.74,GRASIM.NS,3.99,5.25,4.73,4.91,4.85
598,Earnings Yield,0.01,0.04,0.01,0.03,0.03,GRASIM.NS,0.03,0.02,0.03,0.05,0.05
599,Key Financial Ratios of HCL Technologies (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,HCLTECH.NS,Mar 16,Jun 15,Jun 14,Jun 13,Jun 12
600,Per Share Ratios,,,,,,HCLTECH.NS,,,,,
601,Basic EPS (Rs.),32.22,33.06,59.69,52.54,48.18,HCLTECH.NS,33.52,45.17,85.66,53.32,28.23
602,Diluted EPS (Rs.),32.22,33.05,59.66,52.50,48.13,HCLTECH.NS,33.43,44.91,84.51,52.45,27.72
603,Cash EPS (Rs.),42.56,40.22,69.82,59.39,51.59,HCLTECH.NS,35.42,47.27,92.50,59.51,33.23
604,Book Value [ExclRevalReserve]/Share (Rs.),160.42,137.37,224.64,198.29,182.27,HCLTECH.NS,152.41,138.02,224.94,146.84,95.25
605,Book Value [InclRevalReserve]/Share (Rs.),160.42,137.37,224.64,198.29,182.27,HCLTECH.NS,152.41,138.02,224.94,146.84,95.25
606,Dividend / Share(Rs.),26.00,10.00,8.00,12.00,24.00,HCLTECH.NS,16.00,30.00,10.00,12.00,12.00
607,Revenue from Operations/Share (Rs.),131.39,120.10,191.97,158.80,135.56,HCLTECH.NS,95.25,122.00,235.68,179.63,128.48
608,PBDIT/Share (Rs.),56.72,49.23,82.83,72.24,61.82,HCLTECH.NS,43.28,57.32,113.86,71.31,40.55
609,PBIT/Share (Rs.),46.36,42.04,73.41,65.81,58.46,HCLTECH.NS,41.32,55.19,106.85,64.97,35.45
610,PBT/Share (Rs.),45.71,41.17,73.29,65.65,58.08,HCLTECH.NS,40.99,54.75,105.68,65.22,34.05
611,Net Profit/Share (Rs.),32.20,33.03,60.41,52.96,48.23,HCLTECH.NS,33.46,45.13,85.49,53.16,28.13
612,Profitability Ratios,,,,,,HCLTECH.NS,,,,,
613,PBDIT Margin (%),43.16,40.99,43.14,45.48,45.59,HCLTECH.NS,45.43,46.98,48.31,39.69,31.55
614,PBIT Margin (%),35.28,35.00,38.24,41.44,43.12,HCLTECH.NS,43.37,45.23,45.33,36.16,27.59
615,PBT Margin (%),34.78,34.27,38.17,41.34,42.84,HCLTECH.NS,43.03,44.88,44.84,36.30,26.50
616,Net Profit Margin (%),24.50,27.50,31.46,33.35,35.57,HCLTECH.NS,35.12,36.99,36.27,29.59,21.89
617,Return on Networth / Equity (%),20.07,24.04,26.88,26.70,26.46,HCLTECH.NS,21.95,32.70,38.00,36.20,29.53
618,Return on Capital Employed (%),27.76,28.84,32.00,32.52,31.49,HCLTECH.NS,21.37,31.86,36.33,32.57,25.51
619,Return on Assets (%),15.79,16.75,21.85,22.43,21.23,HCLTECH.NS,17.74,25.47,27.43,23.21,17.93
620,Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,HCLTECH.NS,0.00,0.00,0.00,0.06,0.11
621,Asset Turnover Ratio (%),64.43,60.92,69.44,67.25,59.67,HCLTECH.NS,50.52,68.84,75.62,78.43,81.89
622,Liquidity Ratios,,,,,,HCLTECH.NS,,,,,
623,Current Ratio (X),2.77,1.69,2.93,3.29,3.06,HCLTECH.NS,3.91,3.23,2.62,1.88,1.45
624,Quick Ratio (X),2.76,1.69,2.93,3.28,3.05,HCLTECH.NS,3.88,3.22,2.62,1.86,1.42
625,Inventory Turnover Ratio (X),1981.83,2329.00,1445.11,551.83,214.64,HCLTECH.NS,104.50,205.06,1061.61,152.95,89.08
626,Dividend Payout Ratio (NP) (%),0.00,15.12,13.42,22.98,49.26,HCLTECH.NS,57.16,37.59,11.70,22.54,42.58
627,Dividend Payout Ratio (CP) (%),0.00,12.42,11.61,20.49,46.06,HCLTECH.NS,53.99,35.89,10.81,20.14,36.05
628,Earnings Retention Ratio (%),0.00,84.88,86.58,77.02,50.74,HCLTECH.NS,42.84,62.41,88.30,77.46,57.42
629,Cash Earnings Retention Ratio (%),0.00,87.58,88.39,79.51,53.94,HCLTECH.NS,46.01,64.11,89.19,79.86,63.95
630,Valuation Ratios,,,,,,HCLTECH.NS,,,,,
631,Enterprise Value (Cr.),262157.68,117446.63,141183.00,132468.50,116478.63,HCLTECH.NS,106192.95,120697.44,96904.12,51888.84,32672.62
632,EV/Net Operating Revenue (X),7.35,3.60,5.43,6.00,6.03,HCLTECH.NS,7.90,7.04,5.87,4.15,3.67
633,EV/EBITDA (X),17.02,8.79,12.58,13.19,13.22,HCLTECH.NS,17.40,14.98,12.16,10.44,11.62
634,MarketCap/Net Operating Revenue (X),7.48,3.64,5.67,6.11,6.44,HCLTECH.NS,8.55,7.55,6.35,4.32,3.71
635,Retention Ratios (%),0.00,84.87,86.57,77.01,50.73,HCLTECH.NS,42.83,62.40,88.29,77.45,57.41
636,Price/BV (X),6.13,3.18,4.84,4.89,4.79,HCLTECH.NS,5.34,6.67,6.65,5.29,5.00
637,Price/Net Operating Revenue,7.48,3.64,5.67,6.11,6.44,HCLTECH.NS,8.55,7.55,6.35,4.32,3.71
638,Earnings Yield,0.03,0.08,0.06,0.05,0.06,HCLTECH.NS,0.04,0.05,0.06,0.07,0.06
639,Key Financial Ratios of Housing Development Finance Corporation (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,HDFC.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
640,Per Share Ratios,,,,,,HDFC.NS,,,,,
641,Basic EPS (Rs.),67.77,102.91,56.53,67.31,46.08,HDFC.NS,44.43,38.13,34.89,31.84,27.97
642,Diluted EPS (Rs.),67.20,102.12,56.53,66.48,45.70,HDFC.NS,44.10,37.78,34.62,31.45,27.54
643,Cash EPS (Rs.),67.55,103.45,56.34,65.69,47.20,HDFC.NS,45.24,38.23,35.07,31.51,28.05
644,Book Value [ExclRevalReserve]/Share (Rs.),603.02,497.43,449.36,389.43,249.55,HDFC.NS,215.98,196.67,179.14,160.57,128.76
645,Book Value [InclRevalReserve]/Share (Rs.),603.02,497.43,449.36,389.43,249.55,HDFC.NS,215.98,196.67,179.14,160.57,128.76
646,Dividend / Share(Rs.),23.00,21.00,21.00,20.00,18.00,HDFC.NS,17.00,15.00,14.00,12.50,11.00
